S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore
1.00,Reliance Inds.,"5,83,436.72","99,810.00"
2.00,TCS,"5,63,709.84","30,904.00"
3.00,HDFC Bank,"4,82,953.59","20,581.27"
4.00,ITC,"3,20,985.27","9,772.02"
5.00,H D F C,"2,89,497.37","16,840.51"
6.00,Hind. Unilever,"2,88,265.26","8,590.00"
7.00,Maruti Suzuki,"2,63,493.81","19,283.20"
8.00,Infosys,"2,48,320.35","17,794.00"
9.00,O N G C,"2,39,981.50","22,995.88"
10.00,St Bk of India,"2,32,763.33","57,014.08"
11.00,ICICI Bank,"2,03,802.35","13,665.35"
12.00,Kotak Mah. Bank,"1,99,253.77","6,390.71"
13.00,Coal India,"1,92,677.98","21,643.28"
14.00,Larsen & Toubro,"1,80,860.74","28,747.45"
15.00,I O C L,"1,78,017.48","1,10,666.93"
16.00,Bharti Airtel,"1,67,131.29","20,318.60"
17.00,Axis Bank,"1,36,380.76","11,721.55"
18.00,NTPC,"1,35,390.53","20,774.37"
19.00,Sun Pharma.Inds.,"1,34,241.36","6,653.23"
20.00,Hind.Zinc,"1,33,266.56","5,922.00"
21.00,Wipro,"1,31,840.57","13,669.00"
22.00,HCL Technologies,"1,26,335.27","12,809.00"
23.00,Vedanta,"1,22,184.17","24,361.00"
24.00,Tata Motors,"1,17,071.87","74,156.07"
25.00,UltraTech Cem.,"1,13,692.87","8,019.24"
26.00,Asian Paints,"1,08,044.04","4,260.52"
27.00,Power Grid Corpn,"1,02,016.01","7,506.95"
28.00,B P C L,"98,278.00","60,616.36"
29.00,IndusInd Bank,"97,379.96","4,286.78"
30.00,Bajaj Fin.,"94,476.77","3,540.63"
31.00,Bajaj Auto,"88,252.60","6,369.34"
32.00,M & M,"88,142.35","11,577.78"
33.00,HDFC Stand. Life,"87,358.23","9,734.90"
34.00,Adani Ports,"81,781.89","2,688.85"
35.00,Bajaj Finserv,"79,795.11","7,665.40"
36.00,GAIL (India),"78,670.97","14,414.34"
37.00,Avenue Super.,"74,066.35","4,094.82"
38.00,Titan Company,"73,886.00","4,274.84"
39.00,JSW Steel,"73,870.26","17,861.00"
40.00,Grasim Inds,"73,532.62","15,291.42"
41.00,Tata Steel,"73,376.14","32,464.14"
42.00,Eicher Motors,"73,311.41","2,269.01"
43.00,Nestle India,"73,015.49","2,601.46"
44.00,Godrej Consumer,"71,859.82","2,630.30"
45.00,Yes Bank,"71,028.13","5,070.30"
46.00,Hero Motocorp,"69,448.66","7,305.49"
47.00,Motherson Sumi,"68,590.33","14,397.85"
48.00,SBI Life Insuran,"67,465.00","9,569.97"
49.00,General Insuranc,"66,316.32","8,557.68"
50.00,Bharti Infra.,"61,776.92",
51.00,Dabur India,"60,015.00","1,966.44"
52.00,Bosch,"59,204.28","3,071.92"
53.00,Shree Cement,"58,987.08","2,296.23"
54.00,New India Assura,"58,108.48","5,074.02"
55.00,H P C L,"58,034.78","57,474.25"
56.00,ICICI Pru Life,"57,748.98","13,555.32"
57.00,Britannia Inds.,"56,837.20","2,567.48"
58.00,Tech Mahindra,"56,244.26","7,775.96"
59.00,Hindalco Inds.,"55,854.68","11,022.81"
60.00,Zee Entertainmen,"54,817.89","1,838.07"
61.00,Cairn India,"53,528.57","2,149.36"
62.00,Indiabulls Hous.,"52,781.67","3,115.89"
63.00,Ambuja Cem.,"52,361.46","6,170.71"
64.00,Interglobe Aviat,"48,621.37","6,177.88"
65.00,Cipla,"48,577.43","3,913.82"
66.00,Piramal Enterp.,"47,483.97","2,858.36"
67.00,United Spirits,"46,725.05","2,263.30"
68.00,Pidilite Inds.,"45,855.50","1,542.90"
69.00,Siemens,"44,239.04","2,429.50"
70.00,Cadila Health.,"41,876.19","3,259.60"
71.00,NMDC,"41,415.33","2,469.03"
72.00,DLF,"40,159.35","1,693.72"
73.00,Marico,"39,813.84","1,337.59"
74.00,Ashok Leyland,"39,047.57","7,113.16"
75.00,Bharat Electron,"37,776.23","2,512.82"
76.00,ICICI Lombard,"37,219.22","2,110.99"
77.00,Lupin,"36,878.85","3,975.62"
